ID_Cliente,Nome,Idade,Viagens,Restaurantes,Entretenimento,Cashback,Compras online,Farmácias,Programas de Milhagem,Postos de Combustível,Mercados,Cidade,Cargo,Estado Civil,Tempo na Empresa,Pessoas em Casa,Moradia,Possui Carro,Renda,Investimentos,Ativos,Dívidas,Probabilidade Inadimplencia,Score,Principal Cartão
bc3749c2-932f-462b-a71e-d1a352510f67,Nicole Lopes,32,5,4,2,4,5,3,1,2,4,Brasília,Engenheiro agrônomo,Divorciado,4,2,Próprio,True,34118,631262,55649,294254,0,232,Rocketseat Mastercard Travel Elite
981dffc4-087e-4a99-bbac-062944f9b5a7,Kevin Teixeira,42,1,4,5,1,4,1,5,3,5,Campo Grande,Psicólogo,Divorciado,18,2,Alugado,True,7338,376417,1777324,180331,87.0,27,Rocketseat Mastercard Life Basic
242f4e94-7f2a-4557-a27a-9227cca55e83,Augusto Sá,67,4,3,4,3,2,3,3,2,3,Goiânia,Intérprete de Bíblias,Solteiro,19,6,Alugado,True,19965,83667,1793731,122049,78.45,57,Rocketseat Mastercard Travel Basic
e6f16b89-d9bf-4448-9d08-65957cdc1fb3,Ágatha Moura,47,2,3,1,2,1,3,4,3,1,Porto Alegre,Engenheiro de projetos,Divorciado,6,6,Próprio,False,25867,283060,1940685,335544,85.21,32,Rocketseat Visa Travel Basic
79b7f5b0-e754-4cd9-9150-ed5913fef23a,João Rios,27,3,5,4,5,4,3,2,2,5,Fortaleza,Cantor,Solteiro,1,1,Alugado,True,18359,146413,517215,390588,89.12,0,Rocketseat Visa Life Basic
c403b04d-6f51-4374-b367-1adce70cdafb,Juliana Sales,56,5,3,5,1,1,5,3,3,1,Curitiba,Tecelão,Viúvo,5,4,Alugado,False,5163,403457,800313,312417,82.44,0,Rocketseat Mastercard Travel Basic
fd42f59f-18f3-428a-8e04-83263518946a,Sra. Brenda Almeida,50,5,5,2,2,3,2,5,5,1,Manaus,Babysitter,Divorciado,15,1,Alugado,False,7973,912804,1311349,156471,78.36,74,Rocketseat Visa Travel Basic
e1a94ba9-8c52-4bc0-a7c5-6ea6ab430f6e,Lavínia Rios,33,1,4,1,5,2,2,4,5,2,Curitiba,Astronauta,Viúvo,6,5,Alugado,False,4796,252572,1841319,297458,93.47,4,Rocketseat Visa Life Basic
bb3e64ba-c46b-4ce7-a915-a5ac5d25fb3e,Rhavi Rezende,60,1,2,2,1,3,1,5,5,2,Manaus,Ferramenteiro,Casado,0,1,Alugado,True,43590,391559,918762,471656,76.12,43,Rocketseat Mastercard Travel Basic
11278877-2221-4c1c-842a-d8fe968f295e,Otto Correia,75,3,4,2,5,2,5,5,4,2,Florianópolis,Garimpeiro,Viúvo,13,2,Alugado,True,3058,901393,692958,37149,59.74,135,Rocketseat Visa Life Select
079ecdbc-3952-4672-a9da-793eeddf071e,Luiz Henrique da Rosa,40,1,1,4,3,1,2,2,2,5,Fortaleza,Contábil,Casado,13,2,Próprio,False,28759,431071,979421,452899,83.46,16,Rocketseat Mastercard Shopping Basic
